recipe_id,step_order,instruction
akanksha_recipe,1,Marinate prawns with spices and rest for 30 minutes.
akanksha_recipe,2,"Cook rice with whole spices until 60% done, drain and cool."
akanksha_recipe,3,"Fry onions until golden; blend with tomato, coconut, and aromatics."
akanksha_recipe,4,Cook prawns in the masala until they turn C-shaped.
akanksha_recipe,5,"Layer rice and masala, cook on low flame (dum) for 20–30 minutes."
akanksha_recipe,6,Garnish and serve hot with raita.
recipe_1,1,Simmer on low flame for enhanced flavor.
recipe_1,2,Add tomatoes and cook until they turn soft.
recipe_1,3,Add chopped onions and sauté until golden brown.
recipe_10,1,Garnish with fresh coriander and serve hot.
recipe_10,2,Simmer on low flame for enhanced flavor.
recipe_10,3,Garnish with fresh coriander and serve hot.
recipe_10,4,Add the main ingredient and cook thoroughly.
recipe_11,1,Add tomatoes and cook until they turn soft.
recipe_11,2,Garnish with fresh coriander and serve hot.
recipe_11,3,Add tomatoes and cook until they turn soft.
recipe_11,4,Add tomatoes and cook until they turn soft.
recipe_11,5,Garnish with fresh coriander and serve hot.
recipe_11,6,Heat oil in a pan over medium flame.
recipe_12,1,Simmer on low flame for enhanced flavor.
recipe_12,2,Add chopped onions and sauté until golden brown.
recipe_12,3,Add tomatoes and cook until they turn soft.
recipe_12,4,Add the main ingredient and cook thoroughly.
recipe_13,1,Garnish with fresh coriander and serve hot.
recipe_13,2,Mix in the spices and cook for 2–3 minutes.
recipe_13,3,Heat oil in a pan over medium flame.
recipe_14,1,Add tomatoes and cook until they turn soft.
recipe_14,2,Add the main ingredient and cook thoroughly.
recipe_14,3,Simmer on low flame for enhanced flavor.
recipe_15,1,Add chopped onions and sauté until golden brown.
recipe_15,2,Add chopped onions and sauté until golden brown.
recipe_15,3,Simmer on low flame for enhanced flavor.
recipe_15,4,Add chopped onions and sauté until golden brown.
recipe_15,5,Add the main ingredient and cook thoroughly.
recipe_15,6,Mix in the spices and cook for 2–3 minutes.
recipe_2,1,Add chopped onions and sauté until golden brown.
recipe_2,2,Heat oil in a pan over medium flame.
recipe_2,3,Mix in the spices and cook for 2–3 minutes.
recipe_3,1,Add chopped onions and sauté until golden brown.
recipe_3,2,Add the main ingredient and cook thoroughly.
recipe_3,3,Add chopped onions and sauté until golden brown.
recipe_3,4,Add the main ingredient and cook thoroughly.
recipe_3,5,Garnish with fresh coriander and serve hot.
recipe_3,6,Add tomatoes and cook until they turn soft.
recipe_3,7,Heat oil in a pan over medium flame.
recipe_4,1,Heat oil in a pan over medium flame.
recipe_4,2,Add tomatoes and cook until they turn soft.
recipe_4,3,Garnish with fresh coriander and serve hot.
recipe_4,4,Simmer on low flame for enhanced flavor.
recipe_4,5,Mix in the spices and cook for 2–3 minutes.
recipe_4,6,Add tomatoes and cook until they turn soft.
recipe_5,1,Mix in the spices and cook for 2–3 minutes.
recipe_5,2,Add the main ingredient and cook thoroughly.
recipe_5,3,Add chopped onions and sauté until golden brown.
recipe_5,4,Garnish with fresh coriander and serve hot.
recipe_6,1,Garnish with fresh coriander and serve hot.
recipe_6,2,Mix in the spices and cook for 2–3 minutes.
recipe_6,3,Mix in the spices and cook for 2–3 minutes.
recipe_6,4,Simmer on low flame for enhanced flavor.
recipe_7,1,Garnish with fresh coriander and serve hot.
recipe_7,2,Add the main ingredient and cook thoroughly.
recipe_7,3,Simmer on low flame for enhanced flavor.
recipe_7,4,Add tomatoes and cook until they turn soft.
recipe_7,5,Heat oil in a pan over medium flame.
recipe_7,6,Simmer on low flame for enhanced flavor.
recipe_8,1,Add tomatoes and cook until they turn soft.
recipe_8,2,Add chopped onions and sauté until golden brown.
recipe_8,3,Heat oil in a pan over medium flame.
recipe_8,4,Garnish with fresh coriander and serve hot.
recipe_9,1,Add tomatoes and cook until they turn soft.
recipe_9,2,Add the main ingredient and cook thoroughly.
recipe_9,3,Simmer on low flame for enhanced flavor.
recipe_9,4,Add tomatoes and cook until they turn soft.
recipe_9,5,Add tomatoes and cook until they turn soft.
recipe_9,6,Garnish with fresh coriander and serve hot.
